round,val_acc,val_precision,val_recall,val_f1,val_auc,val_mcc,time_min
0,0.4996150885296382,0.2498075442648191,0.5,0.33316221765913756,0.48683655327723124,0.0,0.17569761673609416
1,0.5943033102386451,0.6452404479578393,0.5940749081427048,0.5550111966614774,0.6491549128837264,0.23378179398951512,0.1815143346786499
2,0.6212471131639723,0.6242816231669843,0.6211864406779661,0.6188507578757533,0.6742443996681285,0.24544854901414337,0.1853808601697286
3,0.6589684372594303,0.6605625538844717,0.6589297143534432,0.6580857909325063,0.7075998577693493,0.31948809570760794,0.1862061381340027
4,0.6628175519630485,0.6932805299863674,0.662664454189878,0.6488582502221784,0.7265094227806091,0.3546258417868769,0.18617388407389324
5,0.6720554272517321,0.6925395679251594,0.6719295958279009,0.6629943874419013,0.7289083797558373,0.3638859716683309,0.18669731219609578
6,0.6597382602001539,0.6613907069003517,0.659698945122674,0.6588306459280104,0.7303543913713405,0.3210851952026989,0.18654131889343262
7,0.6774441878367975,0.6814759036144579,0.6773865117932915,0.6755978226209727,0.7327746829441745,0.35883911446052946,0.167837655544281
8,0.6735950731331793,0.7098299300217965,0.6734348702145312,0.6587424719323899,0.747455256607799,0.381532838326949,0.1752508282661438
9,0.6936104695919938,0.7108880093420278,0.6935000592627711,0.6871266109588776,0.7585919165580183,0.4040140705742324,0.16383576393127441
10,0.6889915319476521,0.6931991719550683,0.6889344553751333,0.6872476150065078,0.7556311485125045,0.3821098288830455,0.1720983902613322
11,0.7036181678214011,0.7075053160641794,0.7035652483110111,0.7021885891808556,0.7603603176484532,0.4110516813757584,0.16600528955459595
12,0.6920708237105466,0.7003294632124147,0.6919924143652958,0.6888086089098,0.7711319189285291,0.392233284210584,0.17153854370117189
13,0.6866820631254812,0.7091554423974401,0.6865556477420884,0.677941404905565,0.7608842005452175,0.3950652049231241,0.1844338893890381
14,0.6943802925327175,0.7230731117693179,0.6942420291572834,0.6841303528936173,0.7706625577812019,0.416318022096098,0.17002798716227213
15,0.7036181678214011,0.7056710412874796,0.7035794713760815,0.7028510824131262,0.7740594998222119,0.40924516790145904,0.18574852148691814
16,0.7028483448806775,0.711574992455985,0.7027699419224843,0.6997003075979571,0.7705677373473984,0.4142513678072777,0.16978784004847208
17,0.6920708237105466,0.6998159560662953,0.6919947848761407,0.6890038066508655,0.7724831101102289,0.3917326716002574,0.16506294409434
18,0.7082371054657429,0.7201239414587188,0.7081474457745645,0.7041868128104539,0.7839279364703093,0.4281038947193172,0.18285980224609374
19,0.7036181678214011,0.713978288283349,0.7035332464146024,0.6999306999306999,0.7852554225435581,0.4173808604933852,0.18548953533172607
20,0.6951501154734411,0.7002725525028594,0.6950883015289795,0.6931452132457158,0.7710560625814863,0.39532686278904045,0.18725075324376425
