round,val_acc,val_precision,val_recall,val_f1,val_auc,val_mcc,time_min
0,0.5003849114703618,0.2501924557351809,0.5,0.3335043612108774,0.5311840701671211,0.0,0.06666644811630248
1,0.6797536566589685,0.7076058722956533,0.6796124214768282,0.6685330127340089,0.717182647860614,0.3862050928500631,0.05976326068242391
2,0.7167051578137028,0.7299639116363581,0.7166125400023705,0.7125055329959008,0.7867606969301886,0.44637682291280417,0.05845241943995158
3,0.7251732101616628,0.7411095648994144,0.7250740784639089,0.7204981746974555,0.8167749199952591,0.4659077725411747,0.05857859452565511
4,0.7220939183987682,0.7226707129854513,0.7221133104183952,0.7219251685714405,0.8188550432618229,0.444783674135744,0.06107145547866821
5,0.737490377213241,0.7426804448428754,0.7374339220101932,0.7360487669714602,0.8334479080241792,0.48008569990876543,0.059856307506561277
6,0.7143956889915319,0.7320263700421552,0.7145016000948203,0.7089303304852218,0.8379376555647743,0.4461839425090741,0.06159736315409343
7,0.7190146266358738,0.7230215653718435,0.7190660187270357,0.7177776256618285,0.8229915846864999,0.4420698877611143,0.060444728533426924
8,0.74364896073903,0.7553455602773429,0.7435664335664336,0.7406363229186216,0.8355552921654616,0.49877292405973755,0.0614789088567098
9,0.74364896073903,0.7641704464809158,0.7435415432025602,0.7385159800928139,0.8312445181936708,0.5072927289227456,0.061200273036956784
10,0.7328714395688991,0.7391178905336969,0.7328090553514283,0.7310807706878499,0.8186108806447789,0.4718847749727732,0.062109096844991045
