round,val_acc,val_precision,val_recall,val_f1,val_auc,val_mcc,time_min
0,0.4996150885296382,0.2498075442648191,0.5,0.33316221765913756,0.5012492592153609,0.0,0.17187102635701498
1,0.6404926866820632,0.644143344743086,0.6405535142823278,0.6382623224728488,0.7208036031764846,0.2846742254862555,0.18021848996480305
2,0.6805234795996921,0.6902477917689342,0.680436173995496,0.6763218426691853,0.745907313025957,0.37055409137063017,0.17859816948572796
3,0.7105465742879138,0.7529800928090118,0.7103887637785943,0.6977783717960142,0.7859274623681403,0.46140727773489676,0.17679439385732015
4,0.7159353348729792,0.7200608930987822,0.7158824226620837,0.71456516729282,0.8127403105369206,0.4359232902029755,0.17670832872390746
5,0.7382602001539645,0.7472720561092654,0.7381865592035084,0.7358138889420592,0.8271672395401207,0.48537358902949296,0.1781818429629008
6,0.737490377213241,0.7463231496465796,0.7374173284342775,0.7350763296003349,0.836777290506104,0.4836584915851585,0.17766981522242228
7,0.6897613548883756,0.7189288310495794,0.6899016237999289,0.679171786566812,0.8048121370155268,0.40779867833496186,0.17836620410283408
8,0.7305619707467282,0.7642906083296628,0.7304243214412706,0.7216051317974517,0.8205049188100035,0.49355439046841904,0.17818350791931153
9,0.7544264819091608,0.7715366042549314,0.7543297380585516,0.750448809247789,0.832627711271779,0.5255847540919173,0.17576159636179606
10,0.7359507313317937,0.7383358080275888,0.7359120540476474,0.7352673279680579,0.8180502548299159,0.47424166845562704,0.1784261703491211
