round,val_acc,val_precision,val_recall,val_f1,val_auc,val_mcc,time_min
0,0.49884526558891457,0.4953594860579552,0.49919521156809293,0.3685892865009434,0.5645762711864406,-0.0038650391659910436,0.18240468899408976
1,0.6920708237105466,0.7065372079144288,0.6919687092568448,0.6865105413545447,0.7621903520208604,0.398239532024863,0.15113791624704997
2,0.7213240954580447,0.7283529872290453,0.7212563707478962,0.7191227206697504,0.8065011259926514,0.44955334813007125,0.15325692892074586
3,0.7151655119322555,0.7201709094791191,0.7151072656157402,0.7135014306151646,0.8154794358184188,0.435248721106376,0.182835320631663
4,0.7251732101616628,0.7327200007842292,0.7251037098494726,0.7228865410161001,0.8297807277468294,0.4577603544768906,0.18244293928146363
5,0.7228637413394919,0.723166765578635,0.7228493540357948,0.7227610542241532,0.8310394690055707,0.44601600666996893,0.15793383916219075
6,0.7143956889915319,0.7148262152109786,0.7144127059381297,0.7142629298767889,0.828654735095413,0.42923872197103985,0.18636182943979898
7,0.7197844495765974,0.7253357287331285,0.7197238354865474,0.7180115363145816,0.8302062344435226,0.4450241817672347,0.15499931971232098
8,0.7228637413394919,0.7232196282542005,0.7228481687803722,0.7227439597028942,0.8368946307929359,0.44606764236955804,0.1571022351582845
9,0.7244033872209392,0.7396805896805897,0.7243060329501008,0.7198839159221673,0.842071826478606,0.46373182873895524,0.18688265879948934
10,0.7336412625096228,0.7517066939192643,0.7335379874362925,0.7287177023327234,0.8422697641341709,0.48490442242630805,0.18249761660893757
