round,val_acc,val_precision,val_recall,val_f1,val_auc,val_mcc,time_min
0,0.5034642032332564,0.5227349775404695,0.5038153372051677,0.3733025565153781,0.4902465331278891,0.018627034725774875,0.16516546805699667
1,0.7090069284064665,0.7558904173250303,0.7088420054521749,0.6949340192350704,0.7860661372525779,0.46234475418308046,0.16776947577794393
2,0.7066974595842956,0.7067020035842634,0.7066990636482162,0.7066967643062065,0.8109256844850065,0.41340106722202574,0.16823415756225585
3,0.7336412625096228,0.737237884295929,0.7335936944411521,0.7326015563646748,0.8320410098376201,0.4708174756913282,0.14774922529856363
4,0.7359507313317937,0.7376531270148292,0.73591798032476,0.7354590874951388,0.83673343605547,0.47356792857288027,0.1650392492612203
5,0.7297921478060047,0.7298834628190899,0.729784283513097,0.7297607581769849,0.8290126822330213,0.459667735632573,0.14780448675155639
6,0.7490377213240954,0.754366463237431,0.7489818655920351,0.7476882414905837,0.8532558966457272,0.5033195269842146,0.14559436639149984
7,0.7528868360277137,0.7564928194226681,0.7528410572478369,0.7519926343455755,0.8525601517126942,0.5093207855146142,0.16198216676712035
8,0.7528868360277137,0.7591556756441533,0.7528268341827664,0.7513537591301594,0.8441163920824938,0.5119433915331153,0.1674443483352661
9,0.75211701308699,0.7566173063557031,0.7520659002014934,0.751000100010001,0.8562178499466635,0.5086628444611724,0.16478519837061564
10,0.7598152424942263,0.7703200785517272,0.7597392438070405,0.757422969187675,0.8591774327367547,0.5299537066155322,0.15010300079981487
